Date,July_13_June_14_fw,July_14_June_15_fw
1/22/2012,35.47999607,
1/23/2012,35.76342211,
1/24/2012,36.3137173,
1/25/2012,36.80229527,
1/26/2012,36.60060068,
1/27/2012,36.7192698,
1/30/2012,36.71183945,
1/31/2012,36.24946021,
2/1/2012,35.48289058,
2/2/2012,35.81050893,
2/3/2012,36.40797519,
2/6/2012,36.93174035,
2/7/2012,37.01905116,
2/8/2012,36.8356912,
2/9/2012,36.84996383,
2/10/2012,38.54531851,
2/13/2012,37.19547745,
2/14/2012,37.52892847,
2/15/2012,41.65901108,
2/16/2012,41.75703226,
2/17/2012,41.91116077,
2/20/2012,41.95346963,
2/21/2012,41.84811018,
2/22/2012,42.16133767,
2/23/2012,42.35259265,
2/24/2012,42.21153084,
2/27/2012,41.93494979,
2/28/2012,41.35422483,
2/29/2012,41.28721275,
3/1/2012,41.03710673,
3/2/2012,41.07811425,
3/5/2012,40.84229732,
3/6/2012,40.60893825,
3/7/2012,40.35290723,
3/8/2012,40.13394839,
3/9/2012,40.35431962,
3/12/2012,40.38058594,
3/13/2012,40.66144873,
3/14/2012,41.13221616,
3/15/2012,41.22813316,
3/16/2012,41.38437995,
3/19/2012,41.75545736,
3/20/2012,41.78857771,
3/21/2012,41.93438639,
3/22/2012,42.01069565,
3/23/2012,41.9151043,
3/26/2012,41.74419841,
3/27/2012,41.58216312,
3/28/2012,41.44785841,
3/29/2012,41.15632125,
3/30/2012,40.94465627,
4/2/2012,41.46461529,
4/3/2012,41.71163007,
4/4/2012,41.55620845,
4/5/2012,41.52531109,
4/6/2012,41.44009033,
4/9/2012,41.58986413,
4/10/2012,41.41626184,
4/11/2012,41.20332123,
4/12/2012,41.14986549,
4/13/2012,41.11038881,
4/16/2012,41.21581287,
4/17/2012,40.97331854,
4/18/2012,40.7125949,
4/19/2012,40.46120617,
4/20/2012,40.36461429,
4/23/2012,40.57628443,
4/24/2012,40.50898053,
4/25/2012,40.73481006,
4/26/2012,40.89709318,
4/27/2012,41.14642418,
4/30/2012,41.43315355,
5/1/2012,41.68557929,
5/2/2012,41.37939505,
5/3/2012,41.4183942,
5/4/2012,41.3179388,
5/7/2012,41.54618298,
5/8/2012,41.74569625,
5/9/2012,42.06447443,
5/10/2012,42.05846651,
5/11/2012,41.9944787,
5/14/2012,41.8944612,
5/15/2012,42.95651658,
5/16/2012,42.43404556,
5/17/2012,42.53108933,
5/18/2012,42.74449774,
5/21/2012,42.41954412,
5/22/2012,42.35979256,
5/23/2012,42.31754471,
5/24/2012,41.94794037,
5/25/2012,41.78695495,
5/28/2012,41.85355553,
5/29/2012,41.55337168,
5/30/2012,41.15674929,
5/31/2012,41.19639283,
6/1/2012,40.99367421,
6/4/2012,41.06263202,
6/5/2012,41.36621636,
6/6/2012,41.15268878,
6/7/2012,40.78797212,
6/8/2012,40.56338913,
6/11/2012,40.30384865,
6/12/2012,40.15381102,
6/13/2012,39.92807439,
6/14/2012,40.42245695,
6/15/2012,40.48509565,
6/18/2012,40.67894878,
6/19/2012,40.4920232,
6/20/2012,40.46871968,
6/21/2012,40.35387889,
6/22/2012,40.22826964,
6/25/2012,40.15881886,
6/26/2012,40.12755873,
6/27/2012,40.17221647,
6/28/2012,40.05577057,
6/29/2012,39.77930422,
7/2/2012,39.78885642,
7/3/2012,39.92776775,
7/4/2012,39.95455073,
7/5/2012,40.23138474,
7/6/2012,39.84765667,
7/9/2012,40.00145357,
7/10/2012,40.01176006,
7/11/2012,40.32826132,
7/12/2012,40.7130624,
7/13/2012,40.92103292,
7/16/2012,40.83729755,
7/17/2012,40.91281614,
7/18/2012,41.22041822,
7/19/2012,41.02233108,
7/20/2012,41.03864744,
7/23/2012,40.85174262,
7/24/2012,41.01199786,
7/25/2012,41.06301596,
7/26/2012,41.09152781,
7/27/2012,40.92180258,
7/30/2012,41.24506614,
7/31/2012,41.3486246,
8/1/2012,41.10899478,
8/2/2012,40.63991756,
8/3/2012,40.43652211,
8/6/2012,40.5735988,
8/7/2012,40.81072457,
8/8/2012,40.93689003,
8/9/2012,40.86963535,
8/10/2012,40.49767377,
8/13/2012,40.14658818,
8/14/2012,40.23388141,
8/15/2012,40.09374989,
8/16/2012,39.92694531,
8/17/2012,39.91867177,
8/20/2012,39.89890382,
8/21/2012,39.57918221,
8/22/2012,39.48536185,
8/23/2012,39.40471302,
8/24/2012,39.19182877,
8/27/2012,38.99202901,
8/28/2012,38.6650858,
8/29/2012,38.65713555,
8/30/2012,38.81471319,
8/31/2012,37.27809965,
9/3/2012,39.02904148,
9/4/2012,37.59349298,
9/5/2012,39.41065818,
9/6/2012,39.31254717,
9/7/2012,39.13574077,
9/10/2012,39.48616413,
9/11/2012,39.99354593,
9/12/2012,40.3629496,
9/13/2012,40.39456417,
9/14/2012,40.26924715,
9/17/2012,40.18176883,
9/18/2012,40.14109779,
9/19/2012,40.15330137,
9/20/2012,40.25576789,
9/21/2012,40.5347113,
9/24/2012,40.6823031,
9/25/2012,40.93893586,
9/26/2012,41.26160313,
9/27/2012,41.56273327,
9/28/2012,41.71293599,
10/1/2012,42.14966437,
10/2/2012,42.36898547,
10/3/2012,42.06477864,
10/4/2012,41.98885458,
10/5/2012,41.97684391,
10/8/2012,42.09578622,
10/9/2012,42.37533058,
10/10/2012,42.57139174,
10/11/2012,42.62955643,
10/12/2012,42.66254598,
10/15/2012,42.42671108,
10/16/2012,42.41180462,
10/17/2012,42.63571304,
10/18/2012,42.915902,
10/19/2012,43.17287111,
10/22/2012,42.74736736,
10/23/2012,43.11145999,
10/24/2012,42.93559986,
10/25/2012,43.07677067,
10/26/2012,43.02397673,
10/29/2012,43.10277881,
10/30/2012,43.20289972,
10/31/2012,42.99321917,
11/1/2012,42.77898381,
11/2/2012,42.56735172,
11/5/2012,41.98970957,
11/6/2012,42.30188394,
11/7/2012,42.30613655,
11/8/2012,42.40643688,
11/9/2012,42.06334716,
11/12/2012,42.3555259,
11/13/2012,42.98842036,
11/14/2012,43.1073055,
11/15/2012,42.9852308,
11/16/2012,43.29528782,
11/19/2012,43.2510017,
11/20/2012,43.5121069,
11/21/2012,43.72757279,
11/22/2012,43.90081095,
11/23/2012,44.06851441,
11/26/2012,40.34433701,
11/27/2012,40.20276868,
11/28/2012,39.96082819,
11/29/2012,39.26138302,
11/30/2012,38.81504709,
12/3/2012,37.70277996,
12/4/2012,38.73404402,
12/5/2012,38.98983313,
12/6/2012,39.11831748,
12/7/2012,38.92630252,
12/10/2012,38.55553874,
12/11/2012,38.24311745,
12/12/2012,38.05613779,
12/13/2012,37.83858046,
12/14/2012,37.81786745,
12/17/2012,37.86471404,
12/18/2012,37.96778181,
12/19/2012,37.9240091,
12/20/2012,37.95002406,
12/21/2012,38.1274136,
12/24/2012,38.18478953,
12/25/2012,38.23015225,
12/26/2012,38.12218388,
12/27/2012,38.05901623,
12/28/2012,38.08124994,
12/31/2012,37.8104345,
1/1/2013,37.56347678,
1/2/2013,37.18718415,
1/3/2013,37.06375735,
1/4/2013,37.31071678,
1/7/2013,37.4334208,
1/8/2013,37.29908216,
1/9/2013,36.89032693,
1/10/2013,36.98607906,
1/11/2013,37.16352198,
1/14/2013,37.58031881,
1/15/2013,37.80361261,
1/16/2013,37.74227589,
1/17/2013,37.99084165,
1/18/2013,38.30121218,
1/21/2013,38.36511981,
1/22/2013,38.31050318,
1/23/2013,38.44693741,
1/24/2013,38.19256443,
1/25/2013,38.22829101,
1/28/2013,37.7301676,
1/29/2013,37.43669247,
1/30/2013,37.55340777,
1/31/2013,37.63040587,
2/1/2013,37.44264244,
2/4/2013,37.73402624,
2/5/2013,37.96760427,
2/6/2013,38.16736871,
2/7/2013,38.00542979,
2/8/2013,37.85967706,
